;;
38.8092	42.3506	11.88
38.7604	42.4917	11.88
38.7238	42.5962	11.88
38.6839	42.7107	11.88
38.6421	42.8290	11.88
38.6120	42.9147	11.887
38.5729	43.0249	11.887
37.5778	45.5537	11.88
37.5465	45.6317	11.88
37.4871	45.7181	11.887
37.4161	45.7767	11.88
37.3382	45.8360	11.887
37.2722	45.8862	11.887
37.1902	45.9526	11.88
