35.5378;-25.3818;11.278
35.5104;-25.4495;11.278
35.4833;-25.5165;11.278
35.4564;-25.5829;11.278
35.4296;-25.6486;11.278
35.4020;-25.7163;11.278
35.3747;-25.7830;11.278
35.3481;-25.8482;11.278
35.3211;-25.9140;11.278
35.2935;-25.9810;11.278
35.2392;-26.1130;11.278
35.2116;-26.1794;11.278
35.1572;-26.3109;11.278
35.1296;-26.3773;11.278
35.0751;-26.5080;11.278
35.0470;-26.5750;11.278
34.9919;-26.7065;11.278
34.9371;-26.8365;11.278
34.9089;-26.9031;11.278
34.8533;-27.0343;11.278
34.8257;-27.0991;11.278
34.7775;-27.2122;11.278
34.7433;-27.2923;11.278
34.6958;-27.4032;11.278
34.6604;-27.4855;11.278
34.6332;-27.5487;11.278
34.6054;-27.6133;11.278
34.5497;-27.7420;11.278
34.5222;-27.8052;11.278
34.4948;-27.8682;11.278
34.4451;-27.9824;11.278
34.4137;-28.0541;11.278
34.3410;-28.2200;11.278
29.0000;-40.0000;11.278
28.3667;-41.7500;11.278
27.9000;-43.0167;11.278
27.4000;-44.3167;11.278
27.2811;-44.6175;11.278
27.1959;-44.8314;11.278
27.1395;-44.9725;11.278
27.0924;-45.0900;11.278
26.9978;-45.3246;11.278
26.9496;-45.4438;11.278
26.8561;-45.6740;11.278
26.7654;-45.8960;11.278
26.7127;-46.0243;11.278
26.6183;-46.2536;11.278
26.5693;-46.3719;11.278
26.4727;-46.6044;11.278
40.5298;-3.5751;648
40.5298;-3.5751;648
40.5428;-3.5751;838
40.5565;-3.5758;1.059
40.5696;-3.5857;1.227
40.5834;-3.6105;1.44
40.6007;-3.6349;1.585
40.6240;-3.6606;1.829
40.6372;-3.6792;2.08
40.6423;-3.7054;2.256
40.6427;-3.7432;2.515
40.6405;-3.7925;2.957
40.6399;-3.8418;3.231
40.6398;-3.8968;3.65
40.6391;-3.9546;3.833
40.6382;-4.0149;4.054
40.6372;-4.0799;4.458
40.6363;-4.1445;4.854
40.6353;-4.2103;5.22
40.6342;-4.2792;5.578
40.6331;-4.3458;5.928
40.6319;-4.4170;6.279
40.6307;-4.4855;6.607
40.6294;-4.5559;6.911
40.6280;-4.6292;7.201
40.6266;-4.7003;7.498
40.6251;-4.7709;7.772
40.6236;-4.8463;8.009
40.6220;-4.9198;8.207
40.6204;-4.9939;8.39
40.6186;-5.0703;8.588
40.6169;-5.1458;8.793
40.6150;-5.2250;8.961
40.6132;-5.2990;9.106
40.6112;-5.3788;9.274
40.6090;-5.4623;9.441
40.6067;-5.5418;9.449
40.6046;-5.6204;9.449
40.6024;-5.7001;9.449
40.5988;-5.7495;9.487
40.5883;-5.8278;9.616
40.5778;-5.9100;9.822
40.5674;-5.9899;10.02
40.5565;-6.0725;10.196
40.5455;-6.1556;10.363
40.5354;-6.2311;10.523
40.5247;-6.3101;10.653
40.5134;-6.3940;10.668
40.5028;-6.4719;10.668
40.4922;-6.5494;10.668
40.4812;-6.6298;10.668
40.4705;-6.7072;10.668
40.4596;-6.7861;10.668
40.4483;-6.8667;10.668
40.4376;-6.9435;10.668
40.4263;-7.0243;10.668
40.4156;-7.0997;10.668
40.4041;-7.1803;10.668
40.3936;-7.2538;10.683
40.3821;-7.3342;10.82
40.3708;-7.4121;10.973
40.3596;-7.4893;11.102
40.3478;-7.5700;11.148
40.3366;-7.6465;11.179
40.3250;-7.7260;11.224
40.3128;-7.8084;11.27
40.3007;-7.8895;11.278
40.2873;-7.9788;11.278
40.2759;-8.0547;11.278
40.2636;-8.1358;11.278
40.2514;-8.2162;11.278
